stem	specimen	parent	purpose
112_01_swt1_dt0375_ppfix	SWT1	111_01_swt1_floor1nm_control_ppfix	Time-step robustness: halve the SW-T1 maximum step from 0.75 to 0.375 s.
112_02_swt1_eta200gpa_s_ppfix	SWT1	111_01_swt1_floor1nm_control_ppfix	Regularization robustness: halve SW-T1 tangential viscosity from 4e11 to 2e11 Pa s/m.
112_03_sw4_dt075_ppfix	SWS4	109_01_sw4_floor1nm_g028_ppfix	Time-step robustness: halve the SW-S4 maximum step from 1.5 to 0.75 s.
112_04_sw4_mesh3_ppfix	SWS4	109_01_sw4_floor1nm_g028_ppfix	Mesh robustness: replace the selected nominal size-5 mesh with the existing theta-30 size-3 mesh.
113_01_sw3_dscale0304_ppfix	SWS3	110_01_sw3_floor1nm_g040_ppfix	Identifiability: decrease the retained-dilation scale by 20 percent.
113_02_sw3_dscale0456_ppfix	SWS3	110_01_sw3_floor1nm_g040_ppfix	Identifiability: increase the retained-dilation scale by 20 percent.
113_03_sw3_gouge032_ppfix	SWS3	110_01_sw3_floor1nm_g040_ppfix	Identifiability: decrease maximum gouge-related aperture loss by 20 percent.
113_04_sw3_gouge048_ppfix	SWS3	110_01_sw3_floor1nm_g040_ppfix	Identifiability: increase maximum gouge-related aperture loss by 20 percent.
113_05_sw3_closure096_ppfix	SWS3	110_01_sw3_floor1nm_g040_ppfix	Identifiability: decrease the hydraulic normal-closure amplitude by 20 percent.
113_06_sw3_closure144_ppfix	SWS3	110_01_sw3_floor1nm_g040_ppfix	Identifiability: increase the hydraulic normal-closure amplitude by 20 percent.
114_01_swt2_ascale01416_ppfix	SWT2	111_03_swt2_floor1nm_control_ppfix	Loading-only tensile selection: decrease the kinematic aperture scale by 20 percent.
114_02_swt2_ascale02124_ppfix	SWT2	111_03_swt2_floor1nm_control_ppfix	Loading-only tensile selection: increase the kinematic aperture scale by 20 percent.
115_01_swt1_extended_depressurization_ppfix	SWT1	111_01_swt1_floor1nm_control_ppfix	Elastic-closure diagnostic: hold the final post-slip state, then reduce the inlet-to-outlet pressure difference to 50 and 15 percent of its original final value.
115_02_swt2_extended_depressurization_ppfix	SWT2	111_03_swt2_floor1nm_control_ppfix	Elastic-closure diagnostic: hold the final post-slip state, then reduce the inlet-to-outlet pressure difference to 50 and 15 percent of its original final value.
115_03_sws3_extended_depressurization_ppfix	SWS3	110_01_sw3_floor1nm_g040_ppfix	Elastic-closure diagnostic: hold the final post-slip state, then reduce the inlet-to-outlet pressure difference to 50 and 15 percent of its original final value.
115_04_sws4_extended_depressurization_ppfix	SWS4	109_01_sw4_floor1nm_g028_ppfix	Elastic-closure diagnostic: hold the final post-slip state, then reduce the inlet-to-outlet pressure difference to 50 and 15 percent of its original final value.
